Angle,Distance,OuterLeft,Left,Centre,Right,OuterRight,BumpLeft,BumpRight
0,9,30000,30000,30000,30000,30000,30000,28228
0,9,30000,30000,30000,30000,30000,30000,28168
0,9,30000,30000,30000,30000,30000,30000,28124
0,9,30000,30000,30000,30000,30000,30000,28132
0,9,30000,30000,30000,30000,30000,30000,29904
0,9,30000,30000,30000,30000,30000,30000,28132
0,9,30000,30000,30000,30000,30000,30000,28124
0,9,30000,30000,30000,30000,30000,30000,28124
0,9,30000,30000,30000,30000,30000,30000,28080
0,9,30000,30000,30000,30000,30000,30000,28032
0,9,30000,30000,30000,30000,30000,30000,28080
0,9,30000,30000,30000,30000,30000,30000,28040
0,9,30000,30000,30000,30000,30000,30000,28076
0,9,30000,30000,30000,30000,30000,30000,28032
0,9,30000,30000,30000,30000,30000,30000,27808
0,9,30000,30000,30000,30000,30000,30000,27708
0,9,30000,30000,30000,30000,30000,30000,27704
0,9,30000,30000,30000,30000,30000,30000,27708
0,9,30000,30000,30000,30000,30000,30000,27608
0,9,30000,30000,30000,30000,30000,30000,27616
0,10,30000,4556,3980,3980,30000,112,112
0,10,30000,4556,3980,4032,30000,104,104
0,10,30000,4556,3980,3980,30000,104,104
0,10,30000,4556,3980,4036,30000,112,112
0,10,30000,4564,3980,3980,30000,104,104
0,10,30000,4552,3980,4032,30000,104,104
0,10,30000,4552,3980,4032,30000,104,104
0,10,30000,4556,3976,4028,30000,108,108
0,10,30000,4556,3980,4028,30000,108,108
0,10,30000,4564,3980,3980,30000,108,108
0,10,30000,4564,3976,3976,30000,104,104
0,10,30000,4556,3980,3980,30000,104,104
0,10,30000,4556,4028,3976,30000,104,104
0,10,30000,4564,3980,4032,30000,112,112
0,10,30000,4564,3980,4032,30000,104,104
0,10,30000,4548,3976,4028,30000,104,104
0,10,30000,4552,3980,4028,30000,104,104
0,10,30000,4560,3980,3980,30000,108,108
0,10,30000,4556,3976,3976,30000,108,108
0,10,30000,4564,3976,3976,30000,108,108
0,12,30000,3060,2748,2436,30000,204,204
0,12,30000,3056,2740,2480,30000,196,196
0,12,30000,3004,2732,2428,30000,196,196
0,12,30000,3056,2744,2436,30000,196,196
0,12,30000,3056,2744,2476,30000,196,196
0,12,30000,3056,2736,2432,30000,200,200
0,12,30000,3008,2696,2432,30000,196,196
0,12,30000,3060,2740,2436,30000,196,196
0,12,30000,3056,2744,2440,30000,200,200
0,12,30000,3008,2688,2488,30000,204,204
0,12,30000,3060,2744,2436,30000,204,204
0,12,30000,3004,2688,2432,30000,200,200
0,12,30000,3004,2688,2484,30000,196,196
0,12,30000,3004,2740,2428,30000,196,196
0,12,30000,3056,2744,2432,30000,200,200
0,12,30000,3008,2692,2436,30000,204,204
0,12,30000,3008,2696,2436,30000,200,200
0,12,30000,3000,2688,2432,30000,196,196
0,12,30000,3008,2696,2432,30000,196,196
0,12,30000,3008,2692,2436,30000,204,204
0,14,30000,3536,3068,2964,27392,528,384
0,14,30000,3536,3120,3012,27444,528,384
0,14,30000,3532,3116,3012,27392,532,380
0,14,30000,3484,3116,3008,27388,580,380
0,14,30000,3488,3116,3012,27340,532,388
0,14,30000,3488,3120,2964,27452,532,388
0,14,30000,3488,3116,3012,27504,532,388
0,14,30000,3484,3116,3012,27720,532,388
0,14,30000,3480,3112,3012,27880,528,380
0,14,30000,3532,3116,3012,27984,524,380
0,14,30000,3532,3116,3012,28848,524,380
0,14,30000,3532,3116,3008,29332,528,380
0,14,30000,3544,3120,3016,29132,536,340
0,14,30000,3536,3112,3012,28096,528,384
0,14,30000,3544,3116,3016,27832,540,388
0,14,30000,3532,3164,3012,27764,524,380
0,14,30000,3532,3116,3012,27824,524,380
0,14,30000,3476,3112,3004,27928,572,380
0,14,30000,3532,3116,3016,27988,528,384
0,14,30000,3496,3124,3016,27936,540,340
0,16,30000,5432,4744,4080,24808,1104,572
0,16,30000,5432,4752,4084,24808,1104,572
0,16,30000,5432,4748,4080,24860,1108,576
0,16,30000,5432,4748,4080,24860,1100,576
0,16,30000,5432,4752,4088,25140,1108,580
0,16,30000,5484,4752,4084,25240,1108,572
0,16,30000,5484,4748,4080,25344,1100,572
0,16,30000,5424,4744,4080,25292,1100,572
0,16,30000,5476,4744,4080,25292,1100,564
0,16,30000,5436,4748,4080,25296,1108,576
